0	-
1	Prs
2	ORF2110
3	ORF2110,Prs
4	ORF2819
5	ORF2819,Prs
6	ORF2819,ORF2110
7	ORF2819,ORF2110,Prs
8	lmo0737
9	lmo0737,Prs
10	lmo0737,ORF2110
11	lmo0737,ORF2110,Prs
12	lmo0737,ORF2819
13	lmo0737,ORF2819,Prs
14	lmo0737,ORF2110,ORF2819
15	lmo0737,ORF2110,ORF2819,Prs
16	lmo1118
17	lmo1118,Prs
18	lmo1118,ORF2110
19	lmo1118,ORF2110,Prs
20	lmo1118,ORF2819
21	lmo1118,ORF2819,Prs
22	lmo1118,ORF2110,ORF2819
23	lmo1118,ORF2110,ORF2819,Prs
24	lmo1118,lmo0737
25	lmo1118,lmo0737,Prs
26	lmo1118,lmo0737,ORF2110
27	lmo1118,lmo0737,ORF2110,Prs
28	lmo1118,lmo0737,ORF2819
29	lmo1118,lmo0737,ORF2819,Prs
30	lmo1118,lmo0737,ORF2110,ORF2819
31	lmo1118,lmo0737,ORF2110,ORF2819,Prs
